inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-2840;381;567;1000;1203.51;991.786;9560.01;6837.29;6.93097;0.51734;6.6224;44.6969;10;B
gen-2841;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2842;948;995;1000;525.287;278.736;1227.29;346.236;5.94552;0.715406;5.34592;29.1746;38;B
gen-2843;915;996;1000;593.496;342.165;1741;396.165;6.07528;0.729076;5.53853;31.3426;324;B
gen-2844;1000;1000;1000;131.496;66.839;131.496;66.839;4.39321;1.07099;3.8155;15.375;995;B
gen-2845;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2846;787;942;1000;757.891;419.588;3633.39;1202.59;6.271;0.959707;5.52697;31.7015;28;B
gen-2847;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2848;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2849;792;974;1000;733.367;339.04;3541.37;690.04;6.20665;1.03535;5.34588;29.5844;9;B
gen-2850;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2851;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2852;1000;1000;1000;161.315;95.459;161.315;95.459;4.63081;0.99787;4.16154;18.1786;999;A
gen-2853;773;934;1000;856.5;531;3921;1422;6.52753;0.566232;5.97018;36.3587;104;B
gen-2854;896;996;1000;679.986;347.39;2083.99;401.39;6.25681;0.642929;5.536;31.3487;1;B
gen-2855;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2856;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2857;627;893;1000;966.002;599.9;6001.5;2044.4;6.56874;0.925066;5.96451;36.7324;1;B
gen-2858;998;1000;1000;245.049;119.35;272.049;119.35;5.13696;0.803089;4.47764;20.6843;992;B
gen-2859;385;645;1000;1180.6;922.909;9483.1;5715.41;6.89321;0.563614;6.51989;43.4257;2;B
gen-2860;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
